date,actual_high,actual_low,actual_humidity,actual_maxpressurei,actual_minpressurei,actual_meanwdird,actual_meanwdire,actual_meanwindspdi,actual_meandewpti,actual_precipi,actual_meantempi,sw_humidity,sw_maxdewpti,sw_maxhumidity,sw_maxpressurei,sw_maxtempi,sw_maxwspdi,sw_meandewpti,sw_meantempi,sw_meanwdird,sw_meanwdire,sw_meanwindspdi,sw_mindewpti,sw_minhumidity,sw_minpressurei,sw_mintempi,sw_precipi,se_humidity,se_maxdewpti,se_maxhumidity,se_maxpressurei,se_maxtempi,se_maxwspdi,se_meandewpti,se_meantempi,se_meanwdird,se_meanwdire,se_meanwindspdi,se_mindewpti,se_minhumidity,se_minpressurei,se_mintempi,se_precipi,ne_humidity,ne_maxdewpti,ne_maxhumidity,ne_maxpressurei,ne_maxtempi,ne_maxwspdi,ne_meandewpti,ne_meantempi,ne_meanwdird,ne_meanwdire,ne_meanwindspdi,ne_mindewpti,ne_minhumidity,ne_minpressurei,ne_mintempi,ne_precipi,nw_humidity,nw_maxdewpti,nw_maxhumidity,nw_maxpressurei,nw_maxtempi,nw_maxwspdi,nw_meandewpti,nw_meantempi,nw_meanwdird,nw_meanwdire,nw_meanwindspdi,nw_mindewpti,nw_minhumidity,nw_minpressurei,nw_mintempi,nw_precipi
"February 18, 2018",80.8,64.6,78,30.23,30.12,,SE,4.7,63.0,0.00,72.7,49,70.7,84,-999.90,81.9,12.3,46.8,73.6,,West,1.4,16.9,10,-999.90,65.3,0.01,92,67.6,98,30.22,82.3,8.0,63.3,71.4,,ESE,0.2,59.1,47,30.10,60.4,0.00,82,68.1,94,30.29,83.5,6.0,64.0,73.4,,NE,0.9,61.2,53,30.16,63.4,0.00,76,68.0,98,30.55,86.1,7.0,63.9,73.8,,SSW,1.6,59.0,48,30.37,61.5,0.00
"February 19, 2018",81.4,65.1,78,30.32,30.20,,ESE,7.5,63.7,0.00,73.2,38,70.7,83,-999.90,83.3,12.1,40.3,73.9,,East,1.8,17.8,10,-999.90,64.6,0.00,84,69.4,99,30.30,82.5,12.0,64.1,71.4,,ESE,1.3,59.3,51,30.19,60.4,0.00,84,69.6,95,30.37,82.1,9.0,64.1,72.8,,East,0.9,61.2,54,30.25,63.6,0.00,77,69.0,98,30.62,84.8,9.0,62.7,71.7,,SE,1.9,56.0,43,30.42,58.5,0.00
"February 20, 2018",82.7,67.1,80,30.33,30.25,,ESE,8.4,66.6,0.00,74.9,36,66.6,80,-999.90,84.2,10.5,41.7,76.2,,East,1.5,20.3,10,-999.90,68.2,0.00,84,70.7,97,30.32,83.1,12.0,68.3,75.2,,ESE,2.6,65.9,60,30.23,67.4,0.00,83,71.7,96,30.38,84.5,7.0,64.9,71.4,,ESE,0.7,56.7,59,30.30,58.3,0.00,81,70.0,98,30.64,86.0,11.0,65.1,73.6,,SE,1.7,60.0,55,30.50,61.1,0.00
"February 21, 2018",83.0,69.7,77,30.39,30.28,,ESE,7.9,66.6,0.00,76.3,37,72.1,82,-999.90,85.5,9.8,42.3,77.8,,East,1.0,19.9,10,-999.90,70.0,0.00,87,71.4,98,30.37,82.4,13.0,69.1,75.3,,ESE,2.7,66.1,58,30.29,68.2,0.00,82,71.4,96,30.44,84.6,8.0,66.3,73.8,,East,0.9,60.9,58,30.33,63.0,0.00,77,71.0,98,30.69,89.4,11.0,65.3,76.7,,SE,1.9,62.0,48,30.51,63.9,0.00
"February 22, 2018",81.5,65.7,78,30.41,30.29,,East,7.1,64.5,0.00,73.6,37,70.2,83,-999.90,84.4,12.1,40.6,76.4,,East,2.4,17.4,10,-999.90,68.4,0.00,,,,,,,,,,,,,,,,,82,69.2,96,30.45,83.3,8.0,64.0,72.1,,ENE,1.0,59.1,53,30.34,60.8,0.00,79,68.0,98,30.72,86.0,7.0,63.4,73.2,,ESE,1.2,58.0,46,30.51,60.3,0.00
"February 23, 2018",82.7,65.6,77,30.36,30.22,,ESE,7.1,64.5,0.00,74.1,39,70.0,83,-999.90,84.2,8.7,41.6,75.9,,SSE,0.6,18.1,10,-999.90,67.6,0.00,84,68.0,92,30.24,76.0,4.0,66.9,73.1,,ESE,0.6,65.0,69,30.21,70.2,0.00,84,69.9,96,30.41,82.7,9.0,63.2,69.5,,East,0.8,54.6,59,30.28,56.3,0.00,76,68.0,98,30.70,87.3,8.0,62.3,73.6,,SE,1.5,58.0,40,30.45,59.9,0.00
"February 24, 2018",82.1,65.3,77,30.23,30.07,,SSE,4.9,64.2,0.00,73.7,41,68.9,82,-999.90,81.0,15.4,42.6,72.8,,SW,3.0,18.9,10,-999.90,64.6,0.00,89,69.6,99,30.21,82.3,11.0,63.5,70.2,,ESE,1.0,57.2,60,30.06,58.0,0.00,78,69.2,96,30.28,84.6,5.0,63.4,72.1,,South,0.8,57.8,45,30.10,59.5,0.00,77,68.0,96,30.54,86.4,10.0,62.2,73.2,,South,1.9,58.0,43,30.31,59.9,0.00
"February 25, 2018",82.4,68.1,72,30.15,30.06,,SW,5.5,64.1,0.00,75.2,48,71.8,83,-999.90,80.4,17.7,48.5,73.6,,SSW,3.9,20.8,11,-999.90,66.7,0.00,78,69.3,98,30.14,84.6,10.0,65.2,73.0,,SSE,0.9,60.0,49,30.03,61.4,0.00,80,69.9,95,30.18,83.1,8.0,65.7,72.6,,SSW,0.9,59.6,57,30.08,62.0,0.00,79,70.0,98,30.46,85.5,11.0,63.1,72.4,,SSW,2.4,58.0,50,30.33,59.3,0.00
"February 26, 2018",80.5,65.7,82,30.16,30.05,,WSW,6.9,66.1,0.18,73.1,55,75.9,86,-999.90,81.7,21.2,55.3,75.6,,SW,5.6,33.6,20,-999.90,69.6,0.00,78,69.1,97,30.13,84.7,13.0,66.2,75.3,,SSW,1.1,63.2,49,30.04,65.9,0.02,85,69.6,96,30.21,82.4,11.0,64.2,70.7,,SW,1.4,57.3,60,30.09,59.0,0.02,87,70.0,98,30.49,83.5,15.0,63.6,70.1,,SSW,2.5,55.0,59,30.37,56.7,0.17
"February 27, 2018",73.5,58.8,81,30.26,30.15,,NNE,8.8,58.6,0.00,66.2,35,48.0,58,-999.90,76.6,19.9,36.5,69.2,,ENE,7.7,15.4,10,-999.90,61.9,0.00,85,67.8,95,30.24,73.9,8.0,61.4,65.6,,North,0.4,55.6,69,30.11,57.3,0.02,83,61.0,94,30.32,71.2,11.0,57.6,63.1,,NE,2.3,52.4,67,30.21,55.1,0.00,81,61.0,98,30.62,76.4,9.0,57.9,66.6,,ENE,2.7,54.0,53,30.45,56.7,0.00
"February 28, 2018",79.5,57.1,78,30.16,29.98,,SW,5.1,60.5,0.00,68.3,39,60.6,71,-999.90,77.7,17.0,40.2,68.4,,SSW,3.0,24.1,14,-999.90,59.2,0.00,80,67.2,98,30.15,81.2,7.0,60.5,66.5,,SE,0.8,50.7,54,29.97,51.8,0.00,81,67.6,95,30.22,81.3,7.0,60.2,67.4,,SSW,0.6,51.5,55,30.02,53.5,0.00,82,66.0,96,30.50,82.3,12.0,60.1,68.1,,SSW,1.7,52.0,56,30.27,53.8,0.00
